number,year,rank,player,team,points,percentages
149,2005,1st,Ronaldinho,Barcelona,225,43.69
150,2005,2nd,Frank Lampard,Chelsea,148,28.74
151,2005,3rd,Steven Gerrard,Liverpool,142,27.57
152,2006,1st,Fabio Cannavaro,Real Madrid,173,41.39
153,2006,2nd,Gianluigi Buffon,Juventus,124,29.67
154,2006,3rd,Thierry Henry,Arsenal,121,28.95
155,2007,1st,Kaka,Milan,444,45.49
156,2007,2nd,Cristiano Ronaldo,Manchester United,277,28.38
157,2007,3rd,Lionel Messi,Barcelona,255,26.13
158,2008,1st,Cristiano Ronaldo,Manchester United,446,49.23
159,2008,2nd,Lionel Messi,Barcelona,281,31.02
160,2008,3rd,Fernando Torres,Liverpool,179,19.76
161,2009,1st,Lionel Messi,Barcelona,473,54
162,2009,2nd,Cristiano Ronaldo,Real Madrid,233,26.6
163,2009,3rd,Xavi,Barcelona,170,19.41
164,2010,1st,Lionel Messi,Barcelona,,22.65
165,2010,2nd,Andrés Iniesta,Barcelona,,17.36
166,2010,3rd,Xavi,Barcelona,,16.48
167,2011,1st,Lionel Messi,Barcelona,,47.88
168,2011,2nd,Cristiano Ronaldo,Real Madrid,,21.6
169,2011,3rd,Xavi,Barcelona,,9.23
170,2012,1st,Lionel Messi,Barcelona,,41.6
171,2012,2nd,Cristiano Ronaldo,Real Madrid,,23.68
172,2012,3rd,Andrés Iniesta,Barcelona,,10.91
173,2013,1st,Cristiano Ronaldo,Real Madrid,,27.99
174,2013,2nd,Lionel Messi,Barcelona,,24.72
175,2013,3rd,Franck Ribéry,Bayern Munich,,23.36
176,2014,1st,Cristiano Ronaldo,Real Madrid,,37.66
177,2014,2nd,Lionel Messi,Barcelona,,15.76
178,2014,3rd,Manuel Neuer,Bayern Munich,,15.72
179,2015,1st,Lionel Messi,Barcelona,,41.33
180,2015,2nd,Cristiano Ronaldo,Real Madrid,,27.76
181,2015,3rd,Neymar,Barcelona,,7.86
182,2016,1st,Cristiano Ronaldo,Real Madrid,745,59.17
183,2016,2nd,Lionel Messi,Barcelona,316,25.1
184,2016,3rd,Antoine Griezmann,Atletico Madrid,198,15.73
185,2017,1st,Cristiano Ronaldo,Real Madrid,946,47.85
186,2017,2nd,Lionel Messi,Barcelona,670,33.89
187,2017,3rd,Neymar,Paris Saint-Germain,361,18.26
188,2018,1st,Luka Modrić,Real Madrid,753,45.83
189,2018,2nd,Cristiano Ronaldo,Juventus,476,28.97
190,2018,3rd,Antoine Griezmann,Atletico Madrid,414,25.2
191,2019,1st,Lionel Messi,Barcelona,686,
192,2019,2nd,Virgil Van Dijk,Liverpool,679,
193,2019,3rd,Cristiano Ronaldo,Juventus,476,
194,2021,1st,Lionel Messi,Barcelona,613,
195,2021,2nd,Robert Lewandowski,Bayern Munich,580,
196,2021,3rd,Jorge Luiz Frello Filho,Chelsea,460,
